id,category,amount,score,flag
1,D,762,97.9133917517725,True
2,E,190,27.04184104022437,True
3,C,711,69.2707351143441,False
4,E,484,25.345369387036463,False
5,E,733,35.63655933210382,False
6,B,536,19.127898789689745,False
7,C,756,85.63001936971452,True
8,C,423,88.2648763819504,True
9,C,836,29.691250791543155,True
10,E,640,82.358982417063,True
11,D,605,35.824165003698404,True
12,C,812,9.90194228951583,True
13,E,133,75.80763972920734,False
14,B,55,59.64462488988447,True
15,D,989,27.438244367075036,False
16,B,510,25.299974051184705,False
17,D,670,97.56233704823212,True
18,E,541,86.25010408930913,False
19,A,410,80.97983293737647,True
20,D,211,12.801770864166562,True
21,B,666,75.51872742482605,False
22,E,293,21.454022120328652,False
23,D,987,97.73889432082407,False
24,A,734,5.20891879622577,False
25,A,115,35.21384835602436,False
26,C,949,42.86478407787152,False
27,C,670,82.42029115622545,False
28,B,259,76.62228180040461,False
29,D,763,37.49921449465896,False
30,D,122,56.556029345804085,True
31,C,299,83.55951636077303,True
32,D,775,1.8199592151052713,False
33,D,381,80.21780995244721,False
34,A,561,94.68960253420421,False
35,C,889,3.206452148417116,True
36,E,841,4.558098707818258,True
37,C,501,34.45140055660201,False
38,E,297,8.776956376767453,False
39,A,362,47.92760802938882,False
40,B,589,72.87106850897787,False
41,D,463,56.689923503181774,True
42,A,438,19.643190907274032,True
43,D,127,65.48113000303577,False
44,B,197,68.48544791789159,False
45,B,221,93.24459556850147,True
46,A,995,14.679689737704905,True
47,B,91,69.23361649097234,False
48,E,411,91.14272188531474,False
49,B,8,50.15641533206342,True
50,D,544,36.17996798630564,True
51,D,468,17.074949422115825,True
52,D,320,86.67868864897576,False
53,D,394,39.424637484059446,True
54,E,269,92.48824432676923,False
55,C,191,84.77582981307762,True
56,A,861,37.663985179719575,True
57,D,675,57.39143089462625,True
58,B,61,2.7174036293921455,False
59,D,438,26.32214028671347,False
60,B,264,71.02728485692496,True
61,B,797,67.79109458462668,False
62,D,95,35.3369459541751,True
63,E,553,80.86080319094565,False
64,B,926,23.58360518998711,True
65,B,470,46.127053315227165,True
66,D,661,47.25306353109008,False
67,B,716,34.08167688700171,True
68,B,779,95.46661011251672,False
69,D,514,69.66840335151014,True
70,D,690,53.919933532730155,False
71,A,937,51.051509338864854,True
72,E,194,15.929609247109655,True
73,E,482,37.218689706809826,False
74,B,899,67.27733147291075,True
75,E,336,92.45702196867337,False
76,B,435,81.64640593918385,True
77,A,196,30.038980395997118,True
78,D,855,43.39566256899333,True
79,D,249,8.291752071279458,True
80,D,498,10.217232303558077,False
81,E,212,47.02303869987151,False
82,A,665,53.021940681710014,False
83,E,670,26.402709569691396,True
84,E,466,64.27826891859412,False
