product_id,category,customer_id,price,quantity,discount,date
P001,Electronics,C001,299.99,2,10,2024-01-01
P002,Clothing,C002,49.99,3,5,2024-01-02
P003,Electronics,C003,899.99,1,15,2024-01-03
P004,Books,C001,19.99,5,0,2024-01-04
P005,Clothing,C004,79.99,2,10,2024-01-05
P006,Electronics,C005,149.99,1,5,2024-01-06
P007,Books,C002,29.99,3,0,2024-01-07
P008,Clothing,C003,99.99,1,20,2024-01-08
P009,Electronics,C004,599.99,2,10,2024-01-09
P010,Books,C005,14.99,4,0,2024-01-10
P001,Electronics,C006,299.99,1,5,2024-01-11
P003,Electronics,C007,899.99,1,20,2024-01-12
P005,Clothing,C008,79.99,3,15,2024-01-13
P002,Clothing,C009,49.99,2,0,2024-01-14
P004,Books,C010,19.99,6,5,2024-01-15
P006,Electronics,C001,149.99,2,10,2024-01-16
P008,Clothing,C002,99.99,1,0,2024-01-17
P010,Books,C003,14.99,5,0,2024-01-18
P007,Books,C004,29.99,2,5,2024-01-19
P009,Electronics,C005,599.99,1,15,2024-01-20
